date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1984_Q2	3.38	8.46	5.27	5.09	0.09	-0.42	-0.42	0.32	3.60	-1.70	5.30	2.29	0.21	5.40	3.12	-1.39	-1.78	6.80	4.90
1984_Q3	1.96	3.88	5.27	1.92	0.12	1.16	1.16	0.32	0.10	-3.66	3.76	3.36	0.21	2.75	-0.61	-4.05	-3.55	6.80	2.94
1984_Q4	1.03	3.31	4.88	2.28	0.16	1.32	1.32	0.31	-0.69	-4.16	3.47	2.24	0.22	1.07	-1.17	-4.86	-3.97	5.93	2.79
1985_Q1	1.44	4.50	4.31	3.06	0.20	-1.63	-1.63	0.31	2.18	-3.38	5.56	3.76	0.22	5.13	1.37	-4.03	-3.20	9.16	4.56
1985_Q2	1.60	3.67	4.21	2.08	0.30	2.41	2.41	0.31	-0.73	-1.85	1.13	0.97	0.22	0.03	-0.94	-2.37	-1.71	2.40	0.77
1985_Q3	6.67	7.19	4.31	0.52	0.41	0.21	0.21	0.31	5.37	-0.58	5.95	1.76	0.22	6.74	4.98	-0.86	-0.51	7.60	5.49
1985_Q4	1.56	3.07	4.11	1.51	0.52	0.16	0.16	0.31	0.66	0.09	0.56	0.60	0.21	1.13	0.53	-0.16	0.16	1.29	0.37
1986_Q1	4.07	4.21	4.20	0.14	0.63	-0.19	-0.19	0.31	2.96	0.14	2.82	1.72	0.21	4.31	2.60	-0.33	0.26	4.64	2.33
1986_Q2	2.42	1.49	3.70	-0.93	0.42	0.52	0.52	0.31	0.63	-0.08	0.72	-1.39	0.22	-0.45	0.94	-0.90	0.15	0.46	0.79
1986_Q3	2.07	4.22	3.24	2.15	0.21	0.27	0.27	0.31	1.55	-0.17	1.71	-1.55	0.23	0.34	1.90	-1.24	0.15	1.58	1.75
1986_Q4	-1.22	1.72	2.81	2.94	0.01	0.98	0.98	0.31	-1.86	0.17	-2.04	0.35	0.22	-1.59	-1.94	-0.88	0.48	-0.72	-2.42
1987_Q1	-2.49	2.10	2.95	4.59	-0.20	1.10	1.10	0.31	-2.76	0.86	-3.62	1.03	0.21	-1.94	-2.98	0.18	1.05	-2.12	-4.02
1987_Q2	2.41	4.89	2.81	2.48	0.05	-1.56	-1.56	0.31	3.39	1.50	1.89	0.91	0.22	4.10	3.19	1.48	1.50	2.62	1.69
1987_Q3	0.48	2.98	3.18	2.50	0.29	0.51	0.51	0.31	-0.08	1.73	-1.81	3.13	0.22	2.36	-0.77	2.40	1.54	-0.05	-2.31
1987_Q4	3.53	7.59	4.06	4.06	0.54	1.17	1.17	0.31	2.72	1.29	1.43	-0.88	0.21	2.02	2.90	2.49	0.97	-0.47	1.94
1988_Q1	1.23	1.49	3.96	0.27	0.79	0.05	0.05	0.31	0.05	0.30	-0.24	3.75	0.22	2.98	-0.77	1.70	-0.10	1.28	-0.67
1988_Q2	0.71	6.19	3.95	5.48	0.73	0.69	0.69	0.31	0.70	-0.82	1.53	2.08	0.22	2.33	0.25	0.44	-1.18	1.89	1.43
1988_Q3	0.97	1.74	3.99	0.77	0.68	-0.13	-0.13	0.31	0.06	-1.58	1.64	4.35	0.21	3.48	-0.87	-0.70	-1.82	4.17	0.95
1988_Q4	0.96	5.57	3.94	4.61	0.63	0.59	0.59	0.31	0.76	-1.60	2.37	-0.38	0.22	0.47	0.84	-1.23	-1.71	1.70	2.55
1989_Q1	0.25	4.00	4.03	3.75	0.57	0.83	0.83	0.31	-0.41	-0.92	0.51	3.29	0.21	2.18	-1.11	-1.05	-0.89	3.22	-0.23
1989_Q2	1.89	2.94	3.77	1.05	0.49	2.56	2.56	0.31	-0.72	0.07	-0.80	5.00	0.21	3.20	-1.80	-0.44	0.22	3.64	-2.01
1989_Q3	1.89	3.31	3.48	1.42	0.41	-0.07	-0.07	0.31	1.29	0.83	0.46	1.52	0.22	2.48	0.96	0.07	1.04	2.41	-0.08
1989_Q4	0.52	0.45	3.42	-0.06	0.33	0.30	0.30	0.31	-0.77	0.95	-1.73	0.89	0.21	-0.07	-0.96	0.08	1.19	-0.15	-2.15
1990_Q1	3.77	4.18	2.92	0.41	0.25	0.38	0.38	0.31	2.73	0.38	2.35	3.88	0.21	5.78	1.90	-0.48	0.61	6.26	1.29
1990_Q2	3.55	1.16	3.20	-2.39	0.61	0.25	0.25	0.31	1.66	-0.54	2.20	5.26	0.20	5.84	0.58	-1.32	-0.35	7.16	0.93
1990_Q3	2.29	-0.79	2.98	-3.08	0.98	1.84	1.84	0.31	-0.85	-1.31	0.46	2.45	0.20	1.10	-1.35	-1.90	-1.16	3.00	-0.19
1990_Q4	-3.83	-5.13	2.77	-1.30	1.34	0.01	0.01	0.31	-5.09	-1.46	-3.63	1.42	0.20	-3.96	-5.37	-1.79	-1.37	-2.17	-4.00
1991_Q1	0.83	-3.43	2.80	-4.26	1.70	2.07	2.07	0.31	-2.77	-0.85	-1.93	0.63	0.20	-2.27	-2.90	-0.88	-0.84	-1.39	-2.06
1991_Q2	5.84	3.39	2.25	-2.45	1.62	0.11	0.11	0.31	4.33	0.24	4.09	3.12	0.20	6.84	3.72	0.50	0.18	6.34	3.54
1991_Q3	2.19	1.84	2.09	-0.35	1.53	-0.06	-0.06	0.31	1.48	1.30	0.19	3.49	0.20	4.29	0.80	1.78	1.18	2.51	-0.38
1991_Q4	2.27	1.57	2.08	-0.70	1.44	2.00	2.00	0.31	0.04	1.84	-1.80	1.75	0.19	1.45	-0.30	2.42	1.70	-0.97	-1.99
1992_Q1	7.53	5.33	1.71	-2.20	1.36	-1.46	-1.46	0.30	7.36	1.61	5.75	2.27	0.19	9.19	6.92	2.19	1.47	7.00	5.45
1992_Q2	2.58	4.73	1.89	2.15	1.04	0.43	0.43	0.30	2.36	0.74	1.62	2.74	0.20	4.56	1.82	1.28	0.61	3.28	1.21
1992_Q3	4.05	4.64	2.42	0.58	0.72	1.09	1.09	0.31	2.73	-0.26	3.00	2.57	0.20	4.80	2.23	0.22	-0.38	4.58	2.61
1992_Q4	2.60	5.23	2.72	2.63	0.40	1.65	1.65	0.31	1.43	-0.91	2.35	3.62	0.20	4.33	0.71	-0.41	-1.04	4.74	1.75
1993_Q1	-2.92	-0.07	3.13	2.85	0.08	0.43	0.43	0.31	-3.30	-0.87	-2.44	2.61	0.20	-1.22	-3.83	-0.27	-1.02	-0.95	-2.81
1993_Q2	-1.22	3.14	2.98	4.37	0.27	0.02	0.02	0.31	-0.80	-0.13	-0.67	1.71	0.20	0.56	-1.15	0.58	-0.31	-0.02	-0.84
1993_Q3	0.70	2.56	2.86	1.86	0.46	1.11	1.11	0.32	-0.37	0.89	-1.27	1.41	0.21	0.75	-0.66	1.67	0.69	-0.92	-1.36
1993_Q4	3.65	6.87	2.87	3.22	0.65	0.19	0.19	0.32	3.63	1.70	1.94	1.17	0.21	4.56	3.39	2.39	1.51	2.16	1.88
1994_Q1	1.71	4.61	3.22	2.90	0.83	3.06	3.06	0.32	-0.48	1.83	-2.31	0.93	0.21	0.25	-0.68	2.25	1.72	-2.00	-2.39
1994_Q2	-0.76	6.33	3.57	7.09	0.50	0.22	0.22	0.32	0.21	1.11	-0.90	0.17	0.21	0.34	0.18	1.10	1.11	-0.76	-0.94
1994_Q3	-2.10	2.38	3.39	4.48	0.17	1.30	1.30	0.32	-2.64	-0.18	-2.45	1.71	0.21	-1.29	-3.00	-0.78	-0.02	-0.51	-2.97
1994_Q4	2.95	5.47	3.61	2.53	-0.15	-1.37	-1.37	0.32	3.53	-1.61	5.14	3.54	0.22	6.30	2.76	-2.82	-1.28	9.12	4.04
1995_Q1	-2.19	0.60	3.96	2.80	-0.48	0.75	0.75	0.32	-3.07	-2.67	-0.40	2.17	0.22	-1.37	-3.55	-4.41	-2.19	3.03	-1.36
1995_Q2	0.10	0.70	4.12	0.60	-0.24	1.41	1.41	0.32	-1.99	-3.04	1.05	2.07	0.22	-0.36	-2.44	-5.04	-2.48	4.68	0.04
1995_Q3	0.86	4.36	3.98	3.50	0.01	-0.16	-0.16	0.32	0.81	-2.57	3.38	3.57	0.22	3.60	0.03	-4.55	-2.02	8.15	2.05
1995_Q4	3.54	3.71	3.91	0.17	0.25	1.66	1.66	0.32	1.21	-1.52	2.74	3.67	0.22	4.08	0.41	-3.08	-1.09	7.16	1.50
1996_Q1	3.89	3.38	3.99	-0.50	0.49	0.66	0.66	0.33	1.98	-0.26	2.24	3.71	0.22	4.87	1.16	-1.02	-0.05	5.90	1.21
1996_Q2	4.95	7.89	4.18	2.95	0.52	0.35	0.35	0.33	4.31	0.84	3.47	6.40	0.22	9.31	2.91	1.11	0.76	8.20	2.15
1996_Q3	1.33	4.08	4.49	2.76	0.54	-0.63	-0.63	0.32	1.19	1.54	-0.35	4.09	0.22	4.38	0.29	2.81	1.18	1.56	-0.89
1996_Q4	0.44	5.18	4.52	4.73	0.57	-0.21	-0.21	0.32	0.66	1.75	-1.09	4.63	0.22	4.27	-0.36	3.70	1.19	0.57	-1.56
1997_Q1	-1.30	3.32	4.62	4.63	0.59	1.44	1.44	0.32	-2.28	1.50	-3.78	5.52	0.22	2.02	-3.50	3.59	0.91	-1.57	-4.41
1997_Q2	4.93	6.99	5.46	2.06	0.48	0.22	0.22	0.32	3.70	0.96	2.75	6.66	0.22	8.90	2.24	2.55	0.51	6.35	1.73
1997_Q3	3.80	5.78	5.63	1.97	0.37	-0.07	-0.07	0.31	2.70	0.28	2.42	4.79	0.22	6.42	1.62	0.91	0.10	5.51	1.52
1997_Q4	1.83	3.37	6.32	1.53	0.26	0.94	0.94	0.31	-0.31	-0.33	0.03	5.85	0.22	4.23	-1.62	-0.81	-0.20	5.04	-1.42
1998_Q1	2.15	4.16	6.44	2.01	0.15	-0.76	-0.76	0.31	1.29	-0.72	2.01	6.23	0.23	6.12	-0.12	-1.98	-0.35	8.10	0.23
1998_Q2	1.96	4.03	6.17	2.07	0.22	0.78	0.78	0.31	0.16	-0.74	0.90	5.56	0.23	4.44	-1.12	-2.16	-0.32	6.60	-0.80
1998_Q3	5.63	6.06	6.30	0.44	0.29	0.78	0.78	0.31	3.29	-0.36	3.65	5.50	0.23	7.53	2.03	-1.21	-0.11	8.74	2.13
1998_Q4	3.30	8.50	6.12	5.20	0.36	1.20	1.20	0.30	2.19	0.34	1.85	4.33	0.23	5.50	1.17	0.58	0.27	4.92	0.90
1999_Q1	4.53	3.93	6.37	-0.60	0.43	-0.90	-0.90	0.30	3.05	1.15	1.90	4.70	0.23	6.65	1.95	2.55	0.73	4.10	1.23
1999_Q2	0.43	3.32	6.16	2.88	0.35	1.41	1.41	0.30	-1.54	1.78	-3.32	4.55	0.24	1.92	-2.63	3.91	1.11	-1.99	-3.74
1999_Q3	3.22	5.77	6.34	2.55	0.27	0.34	0.34	0.30	1.85	1.96	-0.10	5.12	0.24	5.74	0.61	4.06	1.28	1.68	-0.67
1999_Q4	6.44	8.14	6.51	1.70	0.19	0.00	0.00	0.30	5.01	1.55	3.46	4.10	0.24	8.14	4.04	2.86	1.15	5.29	2.89
2000_Q1	-1.24	0.51	5.73	1.74	0.10	0.73	0.73	0.29	-2.93	0.66	-3.59	5.11	0.25	0.92	-4.18	0.68	0.65	0.24	-4.84
2000_Q2	9.26	9.08	6.26	-0.19	0.20	-0.63	-0.63	0.29	7.82	-0.44	8.26	3.57	0.24	10.53	6.96	-1.69	-0.04	12.22	7.00
2000_Q3	0.10	0.11	6.39	0.01	0.29	1.68	1.68	0.29	-2.96	-1.37	-1.58	3.81	0.24	-0.07	-3.87	-3.43	-0.72	3.36	-3.15
2000_Q4	4.40	2.20	6.07	-2.20	0.38	-1.79	-1.79	0.29	3.24	-1.85	5.10	4.21	0.24	6.44	2.24	-4.01	-1.17	10.46	3.41
2001_Q1	-1.48	-2.07	5.38	-0.60	0.47	2.84	2.84	0.29	-5.24	-1.78	-3.46	6.97	0.24	0.06	-6.91	-3.41	-1.27	3.48	-5.64
2001_Q2	6.91	2.67	5.04	-4.24	0.52	-0.01	-0.01	0.29	4.18	-1.28	5.46	6.68	0.23	9.32	2.64	-2.09	-1.04	11.41	3.69
2001_Q3	2.49	-2.29	4.04	-4.78	0.57	1.72	1.72	0.30	-1.33	-0.66	-0.67	3.99	0.23	1.75	-2.24	-0.71	-0.64	2.46	-1.60
2001_Q4	6.02	1.84	3.13	-4.18	0.61	-0.17	-0.17	0.30	3.97	-0.18	4.15	3.03	0.23	6.29	3.26	0.15	-0.28	6.14	3.54
2002_Q1	7.04	3.92	3.02	-3.12	0.66	-0.28	-0.28	0.30	5.42	0.00	5.41	3.50	0.23	8.12	4.62	0.33	-0.09	7.79	4.71
2002_Q2	1.30	1.83	2.83	0.53	0.57	1.26	1.26	0.30	-0.27	-0.06	-0.21	4.96	0.23	3.57	-1.39	0.05	-0.09	3.52	-1.30
2002_Q3	4.29	2.90	2.63	-1.40	0.48	0.35	0.35	0.30	2.84	-0.17	3.01	4.24	0.23	6.12	1.87	-0.20	-0.16	6.32	2.04
2002_Q4	-0.34	0.37	2.62	0.71	0.39	-0.18	-0.18	0.30	-0.79	-0.13	-0.66	3.83	0.22	2.19	-1.64	-0.03	-0.16	2.21	-1.47
2003_Q1	3.80	1.36	2.17	-2.44	0.30	-0.36	-0.36	0.31	2.63	0.12	2.51	6.63	0.22	7.82	1.19	0.64	-0.02	7.18	1.21
2003_Q2	6.33	4.17	2.07	-2.16	0.14	1.02	1.02	0.31	4.31	0.48	3.83	4.55	0.22	7.86	3.31	1.48	0.20	6.38	3.11
2003_Q3	8.08	9.36	2.26	1.28	-0.03	0.63	0.63	0.31	7.34	0.71	6.63	5.47	0.22	11.60	6.13	1.96	0.35	9.63	5.78
2003_Q4	0.88	2.95	2.75	2.07	-0.19	0.56	0.56	0.32	0.28	0.59	-0.30	4.47	0.22	3.77	-0.70	1.66	0.28	2.11	-0.99
2004_Q1	2.26	3.51	3.01	1.25	-0.36	-0.61	-0.61	0.32	2.11	0.07	2.04	4.82	0.22	5.89	1.07	0.50	-0.05	5.39	1.11
2004_Q2	2.76	3.22	2.86	0.46	-0.17	0.41	0.41	0.32	1.71	-0.66	2.37	4.06	0.22	4.89	0.83	-1.10	-0.54	5.99	1.37
2004_Q3	0.85	3.01	2.93	2.16	0.02	-1.30	-1.30	0.32	1.48	-1.26	2.75	5.83	0.22	6.04	0.21	-2.46	-0.93	8.50	1.14
2004_Q4	2.36	3.79	3.19	1.43	0.21	1.89	1.89	0.32	0.51	-1.41	1.93	4.35	0.22	3.91	-0.44	-2.93	-0.99	6.84	0.55
2005_Q1	3.19	4.45	3.46	1.26	0.40	1.16	1.16	0.33	1.69	-0.97	2.65	3.44	0.22	4.38	0.94	-2.25	-0.61	6.62	1.55
2005_Q2	-1.32	1.69	2.94	3.00	0.31	-1.00	-1.00	0.33	-0.62	-0.05	-0.58	3.57	0.22	2.16	-1.41	-0.67	0.13	2.83	-1.53
2005_Q3	3.20	3.63	2.97	0.43	0.22	-0.52	-0.52	0.33	2.72	1.00	1.72	8.68	0.22	9.51	0.83	1.15	0.96	8.36	-0.13
2005_Q4	0.05	2.23	3.31	2.18	0.13	1.15	1.15	0.33	-1.10	1.78	-2.87	4.73	0.21	2.63	-2.10	2.51	1.58	0.12	-3.68
2006_Q1	2.75	6.26	3.08	3.51	0.04	0.45	0.45	0.33	2.58	2.04	0.55	3.00	0.22	4.93	1.94	2.97	1.78	1.96	0.15
2006_Q2	0.60	1.43	3.44	0.83	0.29	0.24	0.24	0.33	-0.42	1.80	-2.22	4.98	0.21	3.50	-1.48	2.59	1.59	0.91	-3.07
2006_Q3	-2.27	-0.36	3.32	1.91	0.54	0.54	0.54	0.33	-3.10	1.33	-4.42	4.29	0.21	0.28	-4.02	1.82	1.19	-1.54	-5.21
2006_Q4	2.06	3.96	3.12	1.91	0.80	-0.66	-0.66	0.33	2.10	0.94	1.16	2.55	0.21	4.11	1.56	1.25	0.85	2.86	0.71
2007_Q1	0.90	0.80	2.94	-0.10	1.05	0.37	0.37	0.33	-0.36	0.84	-1.21	5.68	0.21	4.12	-1.57	1.22	0.74	2.90	-2.31
2007_Q2	3.44	3.40	2.85	-0.04	0.70	1.06	1.06	0.33	1.76	0.98	0.78	4.10	0.21	5.00	0.90	1.61	0.82	3.39	0.09
2007_Q3	5.39	3.65	2.87	-1.74	0.36	1.74	1.74	0.34	2.69	1.07	1.62	3.64	0.21	5.57	1.93	1.92	0.85	3.66	1.08
2007_Q4	1.59	2.07	2.85	0.48	0.02	-1.09	-1.09	0.34	1.52	0.73	0.79	2.74	0.21	3.69	0.95	1.52	0.52	2.16	0.42
2008_Q1	0.17	-1.30	3.05	-1.47	-0.32	2.79	2.79	0.34	-3.20	-0.24	-2.97	1.39	0.21	-2.10	-3.49	0.08	-0.32	-2.19	-3.17
2008_Q2	3.03	1.09	2.85	-1.94	-0.24	-0.07	-0.07	0.34	1.47	-1.72	3.19	0.97	0.20	2.24	1.27	-2.20	-1.59	4.44	2.87
2008_Q3	0.25	-3.79	2.75	-4.04	-0.16	0.59	0.59	0.33	-2.41	-3.26	0.85	3.96	0.20	0.76	-3.19	-4.62	-2.93	5.38	-0.26
2008_Q4	0.84	-7.52	2.37	-8.36	-0.08	0.76	0.76	0.33	-3.25	-4.29	1.04	-0.49	0.19	-3.65	-3.16	-6.22	-3.84	2.57	0.68
2009_Q1	0.17	-9.11	1.34	-9.28	-0.04	1.70	1.70	0.33	-4.51	-4.32	-0.20	3.53	0.18	-1.63	-5.16	-6.29	-3.88	4.66	-1.28
2009_Q2	6.34	-1.43	-0.12	-7.77	-0.01	1.88	1.88	0.33	2.53	-3.23	5.76	-0.16	0.18	2.40	2.56	-4.67	-2.91	7.06	5.47

