date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1957_Q4	4.04	-5.38	2.96	-9.43	0.48		0.48	0.30	-0.04	-4.86	4.82	-0.95	0.19	-0.81	0.14	-6.42	-4.50	5.60	4.64
1958_Q1	-3.27	-14.10	2.64	-10.84	0.48		0.48	0.30	-7.70	-2.96	-4.74	-1.76	0.18	-9.15	-7.39	-4.71	-2.58	-4.44	-4.80
1958_Q2	5.70	2.08	1.96	-3.62	0.34		0.34	0.31	3.76	0.80	2.96	1.10	0.17	4.66	3.57	-0.76	1.12	5.42	2.44
1958_Q3	7.36	10.29	1.89	2.93	0.20		0.20	0.31	7.54	4.95	2.59	1.06	0.17	8.42	7.36	4.27	5.09	4.15	2.27
1958_Q4	4.61	10.73	1.94	6.13	0.05		0.05	0.31	5.86	7.99	-2.13	0.77	0.17	6.50	5.73	8.51	7.88	-2.01	-2.16
1959_Q1	3.75	9.84	2.08	6.09	-0.09		-0.09	0.31	5.05	8.52	-3.48	-5.57	0.18	0.46	6.04	10.19	8.16	-9.73	-2.13
1959_Q2	2.20	11.59	2.75	9.39	0.11		0.11	0.31	4.17	5.97	-1.81	-1.44	0.18	2.99	4.42	8.47	5.43	-5.49	-1.01
1959_Q3	2.20	-1.54	2.37	-3.75	0.30		0.30	0.31	0.12	1.48	-1.35	0.52	0.18	0.55	0.03	3.87	0.94	-3.32	-0.91
1959_Q4	0.97	0.61	2.93	-0.37	0.49		0.49	0.31	-0.37	-3.45	3.08	1.46	0.18	0.83	-0.63	-1.93	-3.78	2.75	3.15
1960_Q1	10.90	9.82	3.47	-1.08	0.68		0.68	0.30	9.04	-6.96	16.00	1.07	0.18	9.92	8.85	-6.77	-7.00	16.69	15.85
1960_Q2	-7.93	-3.97	2.82	3.97	0.60		0.60	0.30	-8.00	-7.80	-0.21	1.35	0.18	-6.90	-8.25	-8.94	-7.54	2.04	-0.71
1960_Q3	0.64	0.06	2.84	-0.58	0.52		0.52	0.30	-0.75	-5.86	5.10	2.03	0.18	0.91	-1.12	-7.85	-5.42	8.76	4.30
1960_Q4	-2.93	-7.50	1.66	-4.57	0.43		0.43	0.30	-5.10	-2.14	-2.96	2.58	0.18	-2.98	-5.56	-4.25	-1.69	1.27	-3.87
1961_Q1	4.20	2.03	1.64	-2.17	0.35		0.35	0.30	2.82	1.70	1.12	0.78	0.17	3.47	2.69	0.21	1.99	3.25	0.69
1961_Q2	13.58	8.96	1.83	-4.63	0.59		0.59	0.30	11.25	4.04	7.20	-0.56	0.17	10.78	11.34	3.70	4.11	7.09	7.23
1961_Q3	4.07	6.92	2.41	2.84	0.82		0.82	0.30	3.63	4.24	-0.61	0.15	0.17	3.75	3.60	4.99	4.09	-1.24	-0.48
1961_Q4	4.33	8.20	2.38	3.87	1.06		1.06	0.30	4.05	2.52	1.53	1.55	0.17	5.33	3.78	3.95	2.22	1.38	1.56
